DATE,spindx
19680801,97.28
19680802,96.63
19680805,96.85
19680806,97.25
19680808,97.04
19680809,97.01
19680812,98.01
19680813,98.53
19680815,98.07
19680816,98.68
19680819,99.00
19680820,98.96
19680822,98.70
19680823,98.69
19680826,98.94
19680827,98.81
19680829,98.74
19680830,98.86
19680903,99.32
19680904,100.02
19680905,100.74
19680906,101.20
19680909,101.23
19680910,100.73
19680912,100.52
19680913,100.86
19680916,101.24
19680917,101.50
19680919,101.59
19680920,101.66
19680923,102.24
19680924,102.59
19680926,102.36
19680927,102.31
19680930,102.67
19681001,102.86
19681003,103.34
19681004,103.71
19681007,103.70
19681008,103.74
19681010,103.29
19681011,103.18
19681014,103.32
19681015,103.53
19681017,104.01
19681018,104.82
19681021,104.99
19681022,104.57
19681024,103.84
19681025,104.20
19681028,103.90
19681029,103.30
19681031,103.41
19681101,103.06
19681104,103.10
19681106,103.27
19681107,103.50
19681108,103.95
19681112,104.62
19681113,105.13
19681114,105.20
19681115,105.78
19681118,105.92
19681119,106.14
19681121,105.97
19681122,106.30
19681125,106.48
19681126,107.26
19681127,107.76
19681129,108.37
19681202,108.12
19681203,108.02
19681205,107.67
19681206,107.93
19681209,107.66
19681210,107.39
19681212,107.32
19681213,107.58
19681216,107.10
19681217,106.66
19681219,106.97
19681220,106.34
19681223,105.21
19681224,105.04
19681226,105.15
19681227,104.74
19681230,103.80
19681231,103.86
19690102,103.93
19690103,103.99
19690106,102.47
19690107,101.22
19690108,100.80
19690109,101.22
19690110,100.93
19690113,100.40
19690114,101.13
19690115,101.62
19690116,102.18
19690117,102.03
19690120,101.69
19690121,101.63
19690122,101.98
19690123,102.43
19690124,102.38
19690127,102.40
19690128,102.41
19690129,102.51
19690130,102.55
19690131,103.01
19690203,102.89
19690204,102.92
19690205,103.20
19690206,103.54
19690207,103.53
19690211,103.65
19690212,103.63
19690213,103.71
19690214,103.61
19690217,102.44
19690218,101.40
19690219,100.65
19690220,99.79
19690224,98.60
19690225,97.98
19690226,98.45
19690227,98.14
19690228,98.13
19690303,98.38
19690304,99.32
19690305,99.71
19690306,98.70
19690307,98.65
19690310,98.99
19690311,99.32
19690312,99.05
19690313,98.39
19690314,98.00
19690317,98.25
19690318,98.49
19690319,99.21
19690320,99.84
19690321,99.63
19690324,99.50
19690325,99.66
19690326,100.39
19690327,101.10
19690328,101.51
19690401,101.42
19690402,100.78
19690403,100.68
19690407,99.89
19690408,100.14
19690409,101.02
19690410,101.55
19690411,101.65
19690414,101.57
19690415,101.53
19690416,100.63
19690417,100.78
19690418,101.24
19690421,100.56
19690422,100.78
19690423,100.80
19690424,101.27
19690425,101.72
19690428,102.03
19690429,102.79
19690430,103.69
19690501,103.51
19690502,104.00
19690505,104.37
19690506,104.86
19690507,104.67
19690508,105.10
19690509,105.05
19690512,104.89
19690513,105.34
19690514,106.16
19690515,105.85
19690516,105.94
19690519,104.97
19690520,104.04
19690521,104.47
19690522,104.60
19690523,104.59
19690526,104.36
19690527,103.57
19690528,103.26
19690529,103.46
19690602,102.94
19690603,102.63
19690604,102.59
19690605,102.76
19690606,102.12
19690609,101.20
19690610,100.42
19690611,99.55
19690612,98.26
19690613,98.65
19690616,98.32
19690617,97.95
19690618,97.81
19690619,97.24
19690620,96.67
19690623,96.23
19690624,97.32
19690625,97.01
19690626,97.25
19690627,97.33
19690630,97.71
19690701,98.08
19690702,98.94
19690703,99.61
19690707,99.03
19690708,97.63
19690709,96.88
19690710,95.38
19690711,95.77
19690714,94.55
19690715,94.24
